Company_Name,Job_Role,Experience,Location,Salary,Date_posted,Review,Rating
NVT Quality,Graphic Designer,4-6 Yrs,Bengaluru(Whitefield),Not disclosed,4 Days Ago,18 Reviews,3.8
Prudential Technology And Services,Business Analyst,10-15 Yrs,Hybrid - Bengaluru(Whitefield),Not disclosed,6 Days Ago,4 Reviews,4.2
Resource Pro,Assistant Manager / Back Office Operations - SDU,5-10 Yrs,Bengaluru(Kannamangala +13),5-11 Lacs PA,7 Days Ago,495 Reviews,3.9
Glympse Human Capital Services,"Hiring For International voice Process , Sal upto 55k",0-5 Yrs,Bengaluru(Electronic City +7),4-6 Lacs PA,9 Days Ago,,
Resource Pro,Service Delivery Manager - Back Office Operation / BPM & BPO,13-20 Yrs,Bengaluru(Nagawara Junction +11),Not disclosed,7 Days Ago,495 Reviews,3.9
Resource Pro,Assistant Manager - Service Delivery Unit,8-12 Yrs,Bengaluru(Manayata Tech Park +19),7-13 Lacs PA,7 Days Ago,495 Reviews,3.9
Resource Pro,Assistant manager/ Insurance P&C - Operations,9-14 Yrs,Bengaluru(RT Nagar +19),8-13 Lacs PA,5 Days Ago,495 Reviews,3.9
Fenyes Engineered Technology,Financial Analyst - Accounts Payable,4-6 Yrs,Bangalore/Bengaluru(Whitefield),Not disclosed,7 Days Ago,20 Reviews,2.4
Autochip India,Odoo Developer,3-7 Yrs,Bangalore/Bengaluru(Mahadevpura),3-6 Lacs PA,8 Days Ago,4 Reviews,1.4
Fenyes Engineered Technology,Financial Analyst - Accounts Receivable (Cash Application & SAP),4-6 Yrs,Bangalore/Bengaluru(Whitefield),Not disclosed,8 Days Ago,20 Reviews,2.4
Leading MNC Bank,Inbound Voice Process- Leading MNC Bank- Hindi speaking is a must,0-5 Yrs,Bengaluru(Whitefield),3 Lacs PA,7 Days Ago,,
Leading MNC Bank,Inbound Voice Process-Hindi Speaking is a must-Bangalore-CTC Upto 3L,0-4 Yrs,Bengaluru(Whitefield),2.5-3 Lacs PA,7 Days Ago,,
Resource Pro,Assistant manager - Operations,9-14 Yrs,Bengaluru(RT Nagar +19),8-11 Lacs PA,5 Days Ago,495 Reviews,3.9
IndiaMART,Client Acquisition Executive,1-4 Yrs,Bengaluru(Banashankari Stage III +4),2-6 Lacs PA,4 Days Ago,4975 Reviews,3.6
Nambiar Builders,Structural Engineer - Immediate Requirement,3-4 Yrs,Bangalore/Bengaluru(Electronic City +4),Not disclosed,8 Days Ago,54 Reviews,4.3
Sanctus Hr,Hindi + English Telecallers required immediately For BPO / Spotoffer,0-3 Yrs,Bangalore/Bengaluru(Electronic City +4),Not disclosed,8 Days Ago,,
Multinational Company,Customer Care Executive,0-5 Yrs,Bengaluru(Shivaji Nagar +1),2.25-2.75 Lacs PA,Just Now,,
Herbalife International,Ethics & Compliance Manager,8-12 Yrs,Bengaluru(Whitefield),20-25 Lacs PA,4 Days Ago,468 Reviews,3.9
Openmind eDesign,Ui Ux Developer,8-13 Yrs,Bangalore/Bengaluru(Marathahalli),Not disclosed,7 Days Ago,48 Reviews,3.6
WROOTS GLOBAL PVT LTD,The person who ensures every customer leaves with a smile...,0-3 Yrs,Bengaluru(Whitefield +3),2-3 Lacs PA,1 Day Ago,,
24 7 ai,Customer Support Executive,0-5 Yrs,Bengaluru(Marathahalli),3.5-6 Lacs PA,1 Day Ago,2929 Reviews,3.5
MNR Solutions,Java Technical Lead,6-10 Yrs,Bengaluru(Whitefield),25-30 Lacs PA,3 Days Ago,,
Brains N Skills,Urgent-Liaison Manager-Marathahalli-Bangalore,3-5 Yrs,Bengaluru(Marathahalli),3-5 Lacs PA,5 Days Ago,,
not-for-profit graphene translational manufacturing co.,Quality Control Executive,3-6 Yrs,Bengaluru(Whitefield),2-6 Lacs PA,5 Days Ago,,
